ID,頭文字,品目名,読み,類似語,出し方（一覧）,出し方（詳細）,出し方のポイント,URL1
1308,し,しびん,しびん,シビン 溲瓶 尿瓶 尿器,普通ごみ,,汚物は流して洗って出してください。,
1309,し,絞り器（金属製）,しぼりき（きんぞくせい）,果実絞り機 スクイーザー レモン絞り器,小物金属,,,
1310,し,絞り器（金属製以外）,しぼりき（きんぞくせいいがい）,果実絞り機 スクイーザー レモン絞り器,普通ごみ,,,
1311,し,しめ飾り,しめかざり,お正月飾り しめ縄 注連縄 松飾り 正月用飾り しめなわ 正月用お飾り 正月お飾り 正月の飾り 正月のお飾り,普通ごみ,,,
1312,し,シャープペンシルの芯ケース(紙製),しゃーぷぺんしるのしんけーす（かみせい）,シャーペン芯 シャー芯 シャーペン心ケース シャープペンの芯入れ,ミックスペーパー,,,
1313,し,シャープペンシルの芯ケース(プラスチック製),しゃーぷぺんしるのしんけーす（ぷらすちっくせい）,シャーペン芯 シャー芯 シャーペン心ケース シャープペンの芯入れ,プラスチック製容器包装,,識別表示を確認して出してください。,
1314,し,シャーレ(金属製以外),しゃーれ（きんぞくせいいがい）,,普通ごみ,,,
1315,し,シャーレ(金属製),しゃーれきんぞくせい,,小物金属,,,
1316,し,遮音シート,しゃおんしーと,防音シート 防音マット 遮音マット エプトシーラー,普通ごみ,粗大ごみ,排出時に最長辺50cm以上のものは粗大ごみとして出してください。,
1317,し,尺八,しゃくはち,,粗大ごみ,普通ごみ,排出時に最長辺50cm未満のものは普通ごみとして出してください。,
1318,し,遮光ネット,しゃこうねっと,,普通ごみ,,,
1319,し,写真,しゃしんいんがし,プリクラ 写真紙 証明写真 ブロマイド カラー写真 チェキ ポラロイド写真 写真用紙 生写真 ポラロイドフィルム レジンコート紙 写真プリント用紙 フォト用紙,ミックスペーパー,,,
1320,し,写真立て(ガラス製),しゃしんたてがらすせい,写真たて フォトスタンド クリスタル写真立て フォトフレーム 写真額 写真タテ 写真フレーム ガラス写真立て ガラスのフォトフレーム,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1321,し,写真立て(金属製),しゃしんたてきんぞくせい,写真たて フォトスタンド アルミフォトフレーム 写真額 写真タテ 写真フレーム,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1322,し,写真立て(木製・プラスチック製),しゃしんたてもくせいぷらすちっくせい,写真たて フォトスタンド フォトフレーム 写真額 写真タテ 写真フレーム 木製フォトフレーム,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1323,し,写真(ネガ),しゃしん（ねが）,写真ネガ ネガフィルム フィルムネガ レントゲンフイルム カメラフィルム 写真のネガ フイルムパトローネ レントゲン写真 写真用ネガフィルム カメラ用フイルム,普通ごみ,,,
1324,し,写真パネル,しゃしんぱねる,,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1325,し,写真引き伸ばし機,しゃしんひきのばしき,,粗大ごみ,,,
1326,し,シャチハタ印,しゃちはたいん,スタンパー スタンプ印 シャチハタ印鑑,普通ごみ,,,
1327,し,シャベル(金属製),しゃべるきんぞくせい,ガーデニング用品 ショベル アルミシャベル,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1328,し,シャベル(金属製以外),しゃべるきんぞくせいいがい,ショベル プラスチックシャベル,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1329,し,シャボン玉液容器（プラスチック製）,しゃぼんだまえきようき,しゃぼん玉容器 シャボン玉ケース シャボン玉容器,プラスチック製容器包装,,識別表示を確認して出してください。,
1330,し,シャボン玉ストロー,しゃぼんだますとろー,シャボン玉ふき,普通ごみ,,,
1331,し,しゃもじ(金属製以外),しゃもじ（きんぞくせいいがい）,シャモジ おしゃもじ しゃくし 杓子 プラスチックしゃもじ,普通ごみ,,,
1332,し,しゃもじ(金属製),しゃもじきんぞくせい,金属しゃもじ,小物金属,,,
1333,し,車輪止め(金属製),しゃりんどめ（きんぞくせい）,車止め,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1334,し,車輪止め(木製・ゴム製),しゃりんどめ（もくせい・ごむせい）,車止め,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1335,し,シャワーカーテン,しゃわーかーてん,お風呂カーテン バスカーテン,普通ごみ,,,
1336,し,シャワーキャップ,しゃわーきゃっぷ,,普通ごみ,,,
1337,し,シャワーチェアー（金属製以外）,しゃわーちぇあー,シャワーベンチ,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
1338,し,シャワーチェアー（金属製）,しゃわーちぇあー（きんぞくせい）,シャワーベンチ,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。 ,
1339,し,シャワーヘッド(金属製),しゃわーへっどきんぞくせい,シャワーノズル アクアガン シャワー水栓 レバーノズル,小物金属,,,
1340,し,シャワーヘッド(金属製以外),しゃわーへっどきんぞくせいいがい,シャワーノズル アクアガン シャワー水栓 レバーノズル,普通ごみ,,,
1341,し,シャンデリア（金属製）,しゃんでりあ（きんぞくせい）,,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
1342,し,シャンデリア（金属製以外）,しゃんでりあ（きんぞくせいいがい）,,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
1343,し,シャンプー(詰め替え品が入っていた容器),しゃんぷー（つめかえひんがはいっていたようき）,シャンプーの容器 シャンプー容器 リンス トリートメント シャンプーの袋 シャンプー詰め替え 詰め替えシャンプー 詰め替えボトル シャンプーケース シャンプー替え コンディショナー シャンプー詰め替え容器 シャンプー詰め替えボトル シャンプー詰替 シャンプーの入れ物,プラスチック製容器包装,,識別表示を確認して出してください。,
1344,し,シャンプーハット,しゃんぷーはっと,洗髪キャップ,普通ごみ,,,
1345,し,シャンプー(プラスチック製ボトル)(ノズル含む),しゃんぷー（ぷらすちっくせいぼとる）（のずるふくむ）,シャンプーの容器 シャンプー容器 シャンプーボトル リンス トリートメント シャンプーノズル ボディーソープ シャンプーようき シャンプーのボトル コンディショナー シャンプーの空き容器 シャンプーポンプ シャンプーの入れ物,プラスチック製容器包装,,識別表示を確認して出してください。,
1346,し,収縮棚,しゅうしゅくだな,,粗大ごみ,,,
1347,し,シューズキーパー,しゅーずきーぱー,シューキーパー 靴キーパー シューストレッチャー 靴ストレッチャー,普通ごみ,,,
1348,し,シューズケース・シューズバッグ,しゅーずけーす・しゅーずばっぐ,スキー靴カバン ゴルフシューズバック スキー靴の袋,普通ごみ,,,
1349,し,シューズスタンド（金属製）,しゅーずすたんど（きんぞくせい）,シューズラック,粗大ごみ,,最長辺30cm未満の物は小物金属として出してください。,
1350,し,シューズスタンド（金属製以外）,しゅーずすたんど（きんぞくせいいがい）,シューズラック,粗大ごみ,,最長辺50cm未満の物は普通ごみとして出してください。,
1351,し,修正液の容器,しゅうせいえきのようき,修正ペン 修正インク 修正液のケース,プラスチック製容器包装,,汚れがひどいものは普通ごみとして出してください。,
1352,し,修正テープ,しゅうせいてーぷ,,普通ごみ,,,
1353,し,シューツリー(木型),しゅーつりー（きがた）,,普通ごみ,,,
1354,し,収納袋,しゅうのうぶくろ,ふとん収納,普通ごみ,,,
1355,し,収納ボックス(段ボール製),しゅうのうぼっくすだんぼーるせい,モスボックス インナーボックス ストレージボックス,資源集団回収,,資源集団回収の回収場所等がわからない場合は生活環境事業所に相談してください。,
1356,し,収納ボックス(プラスチック製),しゅうのうぼっくすぷらすちっくせい,押し入れケース 押入れケース 収納プラボックス ビニール製ケース 整理箱 コミックケース 押入収納ボックス 収納BOX ベランダ用収納 ベランダボックス ベランダ収納 DVD収納ケース 押し入れボックス 押し入れ収納ケース 押入れ収納 プラスチック収納ケース プラスチック引き出し CD収納ケース 押入れ収納ケース プラスチック製収納ケース 収納プラスチックケース 押入れストッカー プラスチック収納容器 押入れ収納ボックス コロ付ケース プラスチック三段ボックス プラスチック製ケース プラ収納ケース ビデオテープの箱 引き出し収納 三段ケース 灯油ストッカー プラスチックCDケース 収納コンテナ プラスチック収納箱 プラスチックの引き出し プラスチックスーツケース 押入れ用ストッカー インナーボックス キャリーストッカー ストレージボックス ストッカーボックス,粗大ごみ,普通ごみ,最長辺50cm未満のものは普通ごみとして出してください。,
1357,し,シュシュ・髪ゴム,しゅしゅへあごむ,ヘアゴム 髪ゴム かみとめ 髪止め モビロンゴム ヘヤゴム,普通ごみ,,,
1358,し,朱肉（金属ケースのもの）,しゅにく（きんぞくけーすのもの）,朱肉ケース,小物金属,,,
1359,し,朱肉（金属ケース以外のもの）,しゅにく（きんぞくけーすいがいのもの）,朱肉ケース,普通ごみ,,,
1360,し,シュノーケル,しゅのーける,スノーケル シュノーケリング,普通ごみ,,,
1361,し,シュリンク,しゅりんく,,プラスチック製容器包装,,シュリンクを商品として購入したものを出す場合は普通ごみとして出してください。,
1362,し,シュレッダーごみ(紙以外のもの),しゅれっだーごみかみいがいのもの,シュレッダー屑 シュレッターくず シュレッターのゴミ シュレッターのごみ シュレッダーのゴミ シュレッダーのごみ シュレッダーゴミ シュレッターゴミ シュレッターごみ シュレッターダスト シュレッダーダスト シュレッダーくず シュレッダーしたごみ シュレーダー ,その他,,事業活動から出るものは市では収集できません。/家庭から出るものは、普通ごみとして出してください。,http://www.city.kawasaki.jp/kurashi/category/24-1-25-0-0-0-0-0-0-0.html
1363,し,シュレッダーした紙類,しゅれっだーしたかみるい,シュレッター紙 シュレッダーの紙 シュレッダーをかけた紙 シュレッダーにかけたかみ シュレッダーした紙ごみ シュレッダー紙ごみ シュレッダー紙屑 シュレッダー屑 シュレッターくず シュレッターのゴミ シュレッターのごみ シュレッダーのゴミ シュレッダーのごみ シュレッダーゴミ シュレッターゴミ シュレッターごみ シュレッターダスト シュレッダーダスト シュレッダーの紙くず シュレッターした紙類 シュレッダーくず シュレッダーにかけた紙 シュレッダーしたごみ 紙クズ シュレッダーした紙ゴミ かみくず シュレッダーの紙屑 きざんだ紙 裁断紙ごみ シュレッダー済の紙 裁断した紙 シュレッダーした書類 シュレッダーされた紙 シュレッダーの紙ごみ シュレッダー済みの紙 シュレーダー シュレッターの紙屑 シュレッダした紙 シュレッターにかけた紙 紙シュレッダー シュレッダー紙ゴミ シュレッダーのかみ シュレッダー済み紙 シュレダーごみ シュレッダーした紙ゴミ シュレッダーの紙ゴミ,ミックスペーパー,,家庭から出るものは、紙袋にいれて出してください。（ビニール袋では出さないでください。）/なお、事業活動から出るものは市では収集できません。,http://www.city.kawasaki.jp/kurashi/category/24-1-25-0-0-0-0-0-0-0.html
1364,し,シュレッダー(手動:プラスチック製),しゅれっだーしゅどうぷらすちっくせい,シュレッター ハンドシュレッダー 家庭用シュレッダー 簡易シュレッダー ハンディシュレッダー ペーパーシュレッダー シュレーダー 家庭用シュレッター 紙シュレッダー 手動シュレッダー 手動式シュレッダー,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1365,し,シュレッダー(電動),しゅれっだーでんどうぷらすちっくせい,シュレッター 家庭用シュレッダー 簡易シュレッダー ペーパーシュレッダー 電動シュレッダー シュレーダー 家庭用シュレッター 紙シュレッダー 電気シュレッダー ,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1366,し,背負子,しょいこ,ベビーキャリア,粗大ごみ,,,
1367,し,庭園灯,しょうえんとう（きんぞくせい）,,小物金属,粗大ごみ,最長辺30cm以上のものは粗大ごみとして出してください。,
1368,し,消火器,しょうかき,家庭用消火器具 消火ボンベ 消化器 消火機 消火剤 スプレー式消火器 ミニ消火器 消火器ボンベ 空の消化器,その他,,市では収集できません。（販売店等または消火器リサイクル推進センターに相談してください。）,http://www.ferpc.jp/
1369,し,将棋盤（50cm未満）,しょうぎばん（50せんちみまん）,将棋板 将棋台,粗大ごみ,,1回につき5個まで無料です。（粗大ごみの申し込みが必要です。,
1370,し,将棋盤（50cm以上）,しょうぎばん（50せんちいじょう）,将棋板 将棋台,粗大ごみ,,,
1371,し,消臭剤(エアゾール缶),しょうしゅうざいえあぞーるかん,消臭スプレー缶 トイレ消臭剤 エイトフォー 消臭剤の容器,空き缶・ペットボトル,,中身を使いきって出してください。（穴あけは不要です。）/プラスチック製のキャップはプラスチック製容器包装として出してください。（識別表示を確認して出してください。）/中身が出せない場合は「中身入り」と張り紙をして小物金属で出してください。,
1372,し,消臭剤(スプレータイプ・置き型タイプ),しょうしゅうざいすぷれーたいぷおきがたたいぷ,ファブリーズ 芳香スプレー 消臭スプレー トイレの消臭剤 クレベリン 消臭ビーズ リセッシュ 消臭ポット トイレの消臭元 トイレ消臭剤 消臭剤ボトル アルコール除菌スプレー エイトフォー 消臭剤の容器 無香空間,プラスチック製容器包装,,識別表示を確認して出してください。,
1373,し,消臭剤(電池・電気式),しょうしゅうざいでんちでんきしき,消臭プラグ トイレの消臭剤 トイレ消臭剤,小物金属,,詰め替えカートリッジ(エアゾール缶)は空き缶・ペットボトルとして出してください。,
1374,し,消臭シート,しょうしゅうしーと,,普通ごみ,,,
1375,し,証書ホルダー,しょうしょほるだー,卒業証書ホルダー 卒業証書入れ,普通ごみ,ミックスペーパー,紙製のものはミックスペーパーとして出してください。,
1376,し,障子,しょうじ,,粗大ごみ,普通ごみ,排出時に最長辺50cm未満のものは普通ごみとして出してください。,
1377,し,障子紙(未使用),しょうじがみ（みしよう）,,ミックスペーパー,,,
1378,し,賞状,しょうじょう,,ミックスペーパー,,,
1379,し,賞状の筒(紙製),しょうじょうのつつ（かみせい）,紙筒 丸筒 賞状入れ 表彰状筒 賞状いれ かみづつ 賞状筒,ミックスペーパー,,,
1380,し,焼酎サーバー(陶器製),しょうちゅうさーばー（とうきせい）,焼酎のいれもの,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1381,し,消毒液のボトル(ガラス製),しょうどくえきのぼとる（がらすせい）,消毒用エタノール オロナインの瓶 オロナインの容器,普通ごみ,,,
1382,し,消毒液のボトル(プラスチック製),しょうどくえきのぼとる（ぷらすちっくせい）,マキロン オロナイン アルコール消毒液 ミルトン オキシドール カネパス 消毒用エタノール オロナインの容器,プラスチック製容器包装,,識別表示を確認して出してください。,
1383,し,商品が送られてきた際に入っている緩衝材（プラスチック製）,しょうひんがおくられてきたさいにはいっているかんしょうざいぷらすちっくせい,,プラスチック製容器包装,,識別表示を確認して出してください。,
1384,し,商品券（使用できないもの）,しょうひんけん,ギフト券,ミックスペーパー,,,
1385,し,照明器具,しょうめいきぐ,シーリングライト フロアースタンド ペンダントライト 室内灯 電気のかさ 電気の傘 明かり 照明カバー ランプシェード 蛍光灯カバー 照明機器 電球のかさ ランプのかさ 電気かさ 電気傘 電気照明 シェードランプ 電球カバー 蛍光灯の傘 電灯のかさ 電燈 シーリングランプ 天井照明 照明具 ルームライト 電燈カバー 蛍光灯傘 蛍光灯かさ テーブルランプ 電灯の傘 照明の傘 電気シェード 蛍光灯のかさ 照明器具 証明器具 電気のカサ 投光機 シーリング灯 室内電灯のかさ 照明かさ フロアーランプの傘 照明機具 電器の傘 電気カバー 電球傘 フロアライト 電灯傘 ガラスランプ 室内照明 室内電飾 浴室照明カバー 和室用電器カサ ランプ台 Zライト 水槽蛍光灯 卓上照明 ledシーリングライト 天井ライト 電灯笠 フロアスタンド フロアランプ でんき傘 照明器具のかさ 電器かさ 電球の傘 照明のかさ 電器のかさ 電気の笠 電燈のかさ 照明傘 フロア照明 シーリング照明 ペンダントランプ 間接照明 手元灯 害虫灯 クリップスタンド シーリングライトカバー シーリングカバー スポットライト ネイルライト ジェルネイルライト ルームランプ,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。/電球等は厚紙等等に包み「品名」を表示して普通ごみとして出してください。,
1386,し,しょうゆ加工品(めんつゆ、だし醤油など)の入っていたプラスチックボトル,しょうゆかこうひんめんつゆだししょうゆなどのはいっていたぷらすちっくぼとる,調味料のボトル つゆの素 にんべんつゆ 正油 調味料ペットボトル つゆ容器 めんつゆボトル 麺つゆ容器 麺つゆのボトル 麺つゆの容器,プラスチック製容器包装,,識別表示を確認して出してください。,
1387,し,しょうゆ加工品(めんつゆ、だし醤油など)の入っていたペットボトル,しょうゆかこうひんめんつゆだししょうゆなどのはいっていたぺっとぼとる,調味料のボトル つゆの素 にんべんつゆ 正油 調味料ペットボトル つゆ容器 めんつゆボトル 麺つゆ容器 麺つゆのボトル 麺つゆの容器,空き缶・ペットボトル,,,
1388,し,醤油さし(ガラス・陶器・プラスチック製),しょうゆさしがらすとうきせい,しょう油瓶 醤油ボトル 醤油瓶 醤油入れ しょうゆ差し 醤油いれ しょうゆ入れ 醤油容器 醤油ビン 醤油の瓶 しょうゆビン 醤油の容器 正油 醤油びん 醤油差し しょうゆびん,普通ごみ,,,
1389,し,しょうゆの入っていたプラスチックボトル,しょうゆのはいっていたぷらすちっくぼとる,しょう油 しょうゆボトル 調味料のボトル 醤油容器 しょうゆのボトル 醤油のボトル 醤油の容器 正油,プラスチック製容器包装,,識別表示を確認して出してください。,
1390,し,しょうゆの入っていたペットボトル,しょうゆのはいっていたぺっとぼとる,しょう油 しょうゆボトル 調味料のボトル 醤油ペットボトル ペットボトル醤油 醤油容器 しょうゆのペットボトル しょうゆのボトル 醤油のボトル 醤油の容器 正油,空き缶・ペットボトル,,,
1391,し,食卓カバー,しょくたくかばー,キッチンパラソル,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1392,し,食品残渣,しょくひんざんさ,インスタントラーメン カップスープ カップうどん ピスタチオ 柿 もやし カンパン アンパン ダイコン お米 食塩 ハンバーガー 白米 コーヒーシュガー 砂糖 冷凍食品 きのこ キノコ おでん 古米 ファストフード シュウマイ どら焼き 蒲鉾 砂肝 残飯 食べ物 生クリーム 調味料の中身 保存食 餃子 あられ じゃがいも チーズ チョコレート バナナの皮 芋 魚の骨 鶏がら 小麦粉 煎餅 豚の骨 豚骨 あおやぎ ギョーザ サザエ なめこ 食物残渣 おにぎり 苺 刺身 こんにゃく 食べ残し ソーセージ そうめん レモン スイカ たまねぎ おから 魚肉ソーセージ ポップコーン 菓子パン コーヒー豆 コーンフレーク ごはん 酒かす 酒粕 ウインナー サケ フランスパン 鮮魚 惣菜 米粉 タマゴ ゆで卵 刺し身 バケット ジャガイモ みかんの皮,普通ごみ,,可能な範囲で水切りして出してください。,
1393,し,食品の紙容器(油汚れがついているもの),しょくひんのかみようき,モールドパック,普通ごみ,,,
1394,し,食品の個別包装紙,しょくひんのこべつほうそうし,ハンバーガーの包装紙,ミックスペーパー,,汚れがひどいものは普通ごみとして出してください。,
1395,し,食品包装(プラスチック製),しょくひんほうそう（ぷらすちっくせい）,キムチの容器 おにぎり包装 パンの袋 ゼリーの容器 ポテトチップスの袋 もやしの袋 食品の袋 食材の袋 スパゲティの袋 ふりかけの袋 冷凍食品の包装 お茶漬けの袋 ビニール包装袋 パン袋 アイスの袋 海苔の容器 海苔の入れ物 ゼリー容器 食品の入った袋 焼きそばの袋 食品包装材 小麦粉の袋 焼きそばの麺の袋 冷凍食品の袋 ラーメンの袋 菓子パンの袋 煎餅袋 片栗粉の袋 インスタントラーメンのふくろ ウインナーの袋 おにぎりの袋 おにぎり袋 コーヒーの袋 コンビニおにぎり ソーセージの包装 ソーセージの袋 米粉 野菜の袋 野菜の包装 冷凍食品包装 あじのもと うまい棒の袋 パンの包装 おにぎりのフィルム 冷凍食品外装 ベーコンの袋 アイス袋 コーンフレークの袋 みそ容器 味噌ケース 味噌の容器,プラスチック製容器包装,,識別表示を確認して出してください。/汚れのひどいものは普通ごみとして出してください。,
1396,し,食品用装飾品(プラスチック製),しょくひんようそうしょくひんぷらすちっくせい,バラン 笹の葉 ばらん お寿司の仕切り お弁当バラン,普通ごみ,,食品用装飾品はプラスチック製品なので、プラスチック製容器包装ではなく、普通ごみとして出してください。,
1397,し,食用油,しょくようあぶら,オリーブオイル オリーブ油 サラダ油 てんぷら油 天ぷらあぶら 植物油 サラダオイル 廃食用油 天ぷら油 テンプラ油 使用済み油 揚げ油 古い油 調理油 揚げ油 使用済み食用油 揚げ物の油 廃食油,普通ごみ,,紙などに染み込ませるか固めて出してください。/ボトルは識別表示をを確認して、ペットボトルかプラスチック製容器包装として出してください。,
1398,し,食用油の缶,しょくようあぶらのかん,油の缶 ゴマ油缶 油缶 油カン サラダオイルカン オイルの容器 食用油の容器 食用油缶 オリーブオイル缶 金属容器 ゴマ油の缶 ごま油のカン ごま油のカン ,空き缶・ペットボトル,,中身を使いきって、軽くすすいで出してください。,
1399,し,食用油のびん,しょくようあぶらのかんびん,油の瓶 ゴマ油瓶 油びん 油ビン サラダオイルビン オイルの容器 食用油の容器 食用油缶 オリーブオイル瓶 金属容器 ゴマ油のビン ごま油のびん ごま油のビン ごま油の瓶 食用油ビン サラダ油びん サラダ油瓶  食用油のびん オリーブ油 オリーブオイルのボトル オリーブオイルの瓶 ゴマ油びん あぶらの缶 あぶらの瓶 オリーブオイルのびん サラダ油の缶 食用油の瓶 オリーブオイルびん ごま油びん 食用油びん ごま油ビン オリーブ油のビン ゴマ油のびん ゴマ油ビン サラダオイル容器 サラダ油のビン ごまあぶら ゴマ油ビン 食用油のビン ごま油瓶 サラダ油ビン ,空きびん,,中身を使いきって、軽くすすいで出してください。/空きびんは、袋に入れずに寝かせて空きびん入れに入れることが原則ですが、事情により空きびん入れのない場所では、透明・半透明の袋に入れて出してください。（散乱等のないよう安全には十分注意して出してください。）/金属製のふたは空き缶・ペットボトルとして出してください。,
1400,し,食用油のプラスチックボトルのキャップ,しょくようあぶらのぷらすちっくぼとるのきゃっぷ,サラダオイルの容器 食用油の容器 食用油のペットボトル サラダ油の容器 サラダ油ペットボトル,プラスチック製容器包装,,識別表示を確認して出してください。,
1401,し,食用油のプラスチックボトルのラベル,しょくようあぶらのぷらすちっくぼとるのらべる,サラダオイルの容器 食用油の容器 食用油のペットボトル サラダ油の容器 サラダ油ペットボトル,プラスチック製容器包装,,識別表示を確認して出してください。,
1402,し,食用油のプラスチックボトルのラベル(紙製),しょくようあぶらのぷらすちっくぼとるのらべる（かみせい）,サラダオイルの容器 食用油の容器 食用油のペットボトル サラダ油の容器 サラダ油ペットボトル,ミックスペーパー,,,
1403,し,食用油のプラスチックボトルの外包装,しょくようあぶらのぷらすちっくぼとるのそとほうそう,サラダオイルの容器 食用油の容器 食用油のペットボトル サラダ油の容器 サラダ油ペットボトル,プラスチック製容器包装,,識別表示を確認して出してください。,
1404,し,食用油のボトル(プラスチック製),しょくようあぶらのぼとるぷらすちっくせい,サラダオイルの容器 食用油の容器 食用油のペットボトル サラダ油の容器 サラダ油ペットボトル 食用油ペットボトル 食用油ボトル サラダオイルのボトル,プラスチック製容器包装,,識別表示を確認して出してください。,
1405,し,食品保存用の袋,しょくようほぞんようのふくろ,ジップロック 保冷バッグ 保存パック フリーザーバック 保冷袋 ジブロック 保存袋 フリーザーパック ジプロック ジッパー付き袋 ストックバッグ 密閉袋 フリーザバック 冷凍保存バッグ 保存バッグ フリーザーバッグ ZIPロック 食料保存容器 ジプロック容器,普通ごみ,,食品保存用の袋はプラスチック製品なので、プラスチック製容器包装ではなく、普通ごみとして出してください。,
1406,し,書籍,しょせき,専門書 洋書 実用書 書物類 百科辞典 絵本 教科書 古本 参考書 辞書 写真集 取扱説明書 文庫本 古書 単行本 図鑑 かたろぐ 国語辞典 書物 広辞苑 資料集 ハードカバー 小説 児童書 学習ドリル エロ本 教本 えほん 医学辞典 漢字辞書 ビニ本 国語辞書 聖書 ムック本 テキスト本 漫画単行本 ライトノベル 文集 ハードカバー本,資源集団回収,,資源集団回収の回収場所等がわからない場合は生活環境事業所に相談してください。,
1407,し,食器洗い乾燥機,しょっきあらいかんそうき,食洗機  食器乾燥機 食器洗い洗浄機 食器洗い機 食器洗機 食器洗浄器 食洗器 食器洗浄機 食器乾燥器 食器洗い器 電気乾燥機 食器ドライヤー しょくせんき 食器用乾燥機 食器洗浄乾燥機,粗大ごみ,,ただし、業者が作業したものは市では収集できません。（作業した業者に処理を依頼してください。）,
1408,し,食器棚シート,しょっきだなしーと,たんすシート 食器シート 食器棚マット 食器棚用シート,普通ごみ,,,
1409,し,食器(陶器・ガラス製),しょっきとうきがらすせい,お茶碗 ちゃわん 御茶碗 ご飯茶碗 陶器茶碗 お椀 御椀 お腕 お碗 汁椀 ごはん茶碗 瀬戸物 陶磁器製品 丼 湯のみ 食器 食器皿 湯呑茶碗 瀬戸もの セラミック製品 ゆのみ 湯飲み茶椀 湯呑み 瀬戸物食器 湯のみ茶碗 小鉢 湯飲み茶碗 陶器食器 レンジプレート 湯飲み茶わん 湯飲茶わん 湯呑み茶碗 瀬戸物皿 お皿 ガラス皿 ガラス食器 食器皿 おさら 陶器皿 大皿 ガラスの皿 ガラス器 グラタン皿 コーヒーソーサー 丸皿 オーブン皿 グラタン容器 耐熱皿 小皿 ガラスの器 ガラス食器 陶器の皿 角皿 絵皿 銘々皿 薬味皿 ランチプレート ガラスのお皿 グリル皿 ジョッキ ガラスグラス ビールジョッキ ワイングラス ビアジョッキ ジョッキグラス ガラスのコップ ガラス食器 ビールグラス ガラスカップ グラスコップ ガラスジョッキ コーヒーカップ ティーカップ 珈琲カップ コーヒーコップ 陶器のコップ 陶器コップ ソーサーカップ 陶器製食器 お銚子 皿 お皿,普通ごみ,,厚紙等に包み「ワレモノキケン」と表示して出してください。 ,
1410,し,食器(プラスチック製),しょっきぷらすちっくせい,合成漆器 プラスチック製の食器 プラスチックの皿 プラ皿 おさら プラスチックの食器 プラスチックお皿 コーヒーソーサー 丸皿 小皿 プラスチック皿 プラスチック食器 角皿 薬味皿 ランチプレート,普通ごみ,,,
1411,し,ショックアブソーバー(自動車),しょっくあぶそーばー（じどうしゃ）,サスペンション ダンパー,粗大ごみ,小物金属,最長辺30cm未満のものは小物金属として出してください。,
1412,し,書道下敷き,しょどうしたじき,習字下敷き,普通ごみ,,,
1413,し,書道箱,しょどうばこ,書道かばん 習字かばん 習字箱 書道バッグ 習字バック 習字カバン 書道ケース 習字ケース,普通ごみ,,,
1414,し,書類,しょるい,請求書 テスト用紙 契約書 マニュアル 機密書類 冊子 取り扱い説明書 重要書類 履歴書 帳簿 ライナーノーツ 機密文書 送り状 領収証 ブックレット 取扱説明書 取扱い説明書本 保証書 ポートフォリオ 学校のプリント 学習問題集 算数問題集 答案用紙,ミックスペーパー,,ただし、事業活動から出るものは市では収集できません。,http://www.city.kawasaki.jp/kurashi/category/24-1-25-0-0-0-0-0-0-0.html
1415,し,使用済みの紙,しようずみのかみ,書いた用紙 書き損じ 使用した半紙 使用済みノート 使用済み半紙 絵を描いた紙 絵の具のついた紙 クレヨンで描いた紙 クレヨン画 クレヨン画用紙,ミックスペーパー,,,
1416,し,シリコン製品,しりこんせいひん,シリコーン ルクエ シリコン素材 シリコンケース シリコントング シリコンスチーマー シリコンカップ シリコンカバー シリコンゴム スチームケース シリコン鍋 シリコン菜箸 シリコンふた シリコン調理器 シリコントレー シリコンザル パスタ掴み,普通ごみ,粗大ごみ,最長辺50cm以上のものは粗大ごみとして出してください。,
1417,し,シリコン製ブラジャー,しりこんせいぶらじゃー,ヌーブラ,普通ごみ,,,
1418,し,シリコンマット,しりこんまっと,樹脂マット 樹脂製マット,普通ごみ,,,
1419,し,シルバーカー,しるばーかー,歩行車 歩行補助車 キャリースルーン ワイヤーカー,粗大ごみ,,,
1420,し,シルバーカート,しるばーかーと,,粗大ごみ,,,
1421,し,シルバークリーナー(びん),しるばーくりーなー（びん）,,普通ごみ,,,
